Year,Department,Section,Day,Slot ID,Activity,Faculty ID
III,CSM,A,Friday,TBQ08,Clubs,
III,CSM,A,Friday,TBQ09,Clubs,
III,CSM,B,Friday,TBQ08,Clubs,
III,CSM,B,Friday,TBQ09,Clubs,
III,CSM,C,Friday,TBQ08,Clubs,
III,CSM,C,Friday,TBQ09,Clubs,
III,CSM,A,Monday,TBQ01,UIDF LAB (Lab),FBQ31
III,CSM,A,Monday,TBQ03,UIDF LAB (Lab),FBQ31
III,CSM,A,Monday,TBQ04,UIDF LAB (Lab),FBQ31
III,CSM,B,Tuesday,TBQ05,UIDF LAB (Lab),FBQ31
III,CSM,B,Tuesday,TBQ06,UIDF LAB (Lab),FBQ31
III,CSM,B,Tuesday,TBQ08,UIDF LAB (Lab),FBQ31
III,CSM,C,Wednesday,TBQ03,UIDF LAB (Lab),FBQ38
III,CSM,C,Wednesday,TBQ04,UIDF LAB (Lab),FBQ38
III,CSM,C,Wednesday,TBQ05,UIDF LAB (Lab),FBQ38
IV,CSM,A,Friday,TBQ08,Clubs,
IV,CSM,A,Friday,TBQ09,Clubs,
IV,CSM,B,Friday,TBQ08,Clubs,
IV,CSM,B,Friday,TBQ09,Clubs,
IV,CSM,C,Friday,TBQ08,Clubs,
IV,CSM,C,Friday,TBQ09,Clubs,
IV,CSM,A,Monday,TBQ08,PROJECT,FBQ40
IV,CSM,A,Monday,TBQ09,PROJECT,FBQ40
IV,CSM,A,Tuesday,TBQ09,PROJECT,FBQ40
IV,CSM,A,Wednesday,TBQ09,PROJECT,FBQ40
IV,CSM,A,Thursday,TBQ09,PROJECT,FBQ40
IV,CSM,A,Saturday,TBQ09,PROJECT,FBQ40
IV,CSM,B,Monday,TBQ09,PROJECT,FBQ43
IV,CSM,B,Tuesday,TBQ09,PROJECT,FBQ43
IV,CSM,B,Wednesday,TBQ08,PROJECT,FBQ43
IV,CSM,B,Wednesday,TBQ09,PROJECT,FBQ43
IV,CSM,B,Thursday,TBQ09,PROJECT,FBQ43
IV,CSM,B,Saturday,TBQ09,PROJECT,FBQ43
IV,CSM,C,Monday,TBQ09,PROJECT,FBQ43
IV,CSM,C,Tuesday,TBQ09,PROJECT,FBQ43
IV,CSM,C,Wednesday,TBQ09,PROJECT,FBQ43
IV,CSM,C,Thursday,TBQ08,PROJECT,FBQ43
IV,CSM,C,Thursday,TBQ09,PROJECT,FBQ43
IV,CSM,C,Saturday,TBQ09,PROJECT,FBQ43
IV,CSM,A,Saturday,TBQ03,COUN,
IV,CSM,B,Saturday,TBQ05,COUN,
IV,CSM,C,Saturday,TBQ08,COUN,
IV,CSM,A,Tuesday,TBQ01,SD LAB (Lab),FBQ39
IV,CSM,A,Tuesday,TBQ03,SD LAB (Lab),FBQ39
IV,CSM,A,Tuesday,TBQ04,SD LAB (Lab),FBQ39
IV,CSM,B,Wednesday,TBQ05,SD LAB (Lab),FBQ45
IV,CSM,B,Wednesday,TBQ06,SD LAB (Lab),FBQ45
IV,CSM,B,Wednesday,TBQ08,SD LAB (Lab),FBQ45
IV,CSM,C,Thursday,TBQ03,SD LAB (Lab),FBQ45
IV,CSM,C,Thursday,TBQ04,SD LAB (Lab),FBQ45
IV,CSM,C,Thursday,TBQ05,SD LAB (Lab),FBQ45
II,CSM,A,Friday,TBQ08,Clubs,
II,CSM,A,Friday,TBQ09,Clubs,
II,CSM,A,Saturday,TBQ05,COUN,
II,CSM,B,Friday,TBQ08,Clubs,
II,CSM,B,Friday,TBQ09,Clubs,
II,CSM,B,Saturday,TBQ05,COUN,
II,CSM,C,Friday,TBQ08,Clubs,
II,CSM,C,Friday,TBQ09,Clubs,
II,CSM,C,Saturday,TBQ05,COUN,
